Object Number,Area,Aspect_Ratio,Diameter,Width,Length
0,53.44444444,0.820520617,5.984173512,5.333333333,6.333333333
1,67.77777778,0.954995451,6.719535589,6.333333333,6.666666667
2,68.11111111,0.914888176,6.634743099,6.333333333,7
3,50.11111111,0.75709382,5.592938628,4.666666667,6.666666667
4,86.11111111,0.980572507,7.372410841,7.333333333,7.333333333
5,52.33333333,0.773379957,5.828402526,5.333333333,6.333333333
6,44.33333333,0.768238541,5.226639802,4.333333333,6
7,68.55555556,0.886917793,6.885988934,6.333333333,7.333333333
8,48,0.631732121,5.490775898,4,7.666666667
9,62.22222222,0.735561584,6.494594628,5.333333333,7.666666667
10,64.33333333,0.887272927,6.751058212,6,7.333333333
11,59.55555556,0.702612452,6.373600897,5.333333333,8
12,51.11111111,0.878604974,5.680824078,5,6
13,55,0.742752012,6.078048631,5.666666667,6.333333333
14,63.22222222,0.71885433,6.439879292,4.666666667,8
15,55,0.689704247,6.101291731,5,7.666666667
16,62.66666667,0.97245272,6.581193046,6.333333333,6.666666667
17,54.33333333,0.718568765,5.960473722,4.333333333,7.666666667
18,98.55555556,0.947369902,8.077823872,8,8
19,71.22222222,0.882835771,6.937186582,6.333333333,7.666666667
20,55.66666667,0.921195446,5.972335373,5.333333333,6
21,84.77777778,0.915081441,7.43930382,7,7.666666667
22,69.11111111,0.873747929,6.844755096,6.333333333,7.333333333
23,49.33333333,0.803295757,5.630771789,5,6.666666667
24,58.88888889,0.69393384,6.124446622,4.666666667,7.666666667
25,65.33333333,0.940320911,6.967724602,6.666666667,7.333333333
26,58.22222222,0.908355115,6.351354404,5.666666667,6.333333333
27,62.11111111,0.948430543,6.439879292,6,6.333333333
28,59.11111111,0.897432884,6.295394243,5.666666667,6.333333333
29,49.77777778,0.722127013,5.630771789,4.666666667,7
30,62,0.815309308,6.751058212,5.666666667,8
31,56.55555556,0.904601372,6.11288014,5.666666667,6.333333333
32,50.44444444,0.593028151,6.384695076,4.666666667,8
33,49.33333333,0.624531359,6.170495741,5,7.666666667
34,45.33333333,0.779712807,5.900807818,5.333333333,6
35,73,0.89208287,6.937186582,6.333333333,7.666666667
36,60.11111111,0.905640447,6.362487373,5.666666667,6.666666667
37,45.77777778,0.693325586,5.307261113,4,6.666666667
38,57.88888889,0.847892443,6.250265387,6,6.666666667
39,55.88888889,0.90933562,6.124446622,6,6
40,51.44444444,0.852976461,5.705685572,5,6
41,53.22222222,0.751327412,6.159015739,5,6.666666667
42,54.11111111,0.787210561,6.054716304,5.666666667,6.666666667
43,63.22222222,0.835793086,6.65604249,6.333333333,6.666666667
44,55,0.871509823,6.007779811,5.666666667,6
45,72.44444444,0.954618283,6.977874243,6.666666667,7
46,50.55555556,0.730272511,5.791860457,5.333333333,6.666666667
47,67.88888889,0.763642148,6.937186582,5.666666667,8.333333333
48,62.44444444,0.755508788,6.570430663,5.666666667,7.333333333
49,90.33333333,0.945054989,7.608614331,7.333333333,7.666666667
50,40.77777778,0.678323654,5.32057923,4.666666667,7
51,50.44444444,0.684906007,5.705685572,4.666666667,7
52,55.33333333,0.855987584,5.960473722,5.666666667,6
53,51.77777778,0.961382602,5.80406671,5.666666667,6
54,53.55555556,0.919955444,5.948588419,5.666666667,6
55,52.55555556,0.835474953,6.295394243,6,6.333333333
56,53.66666667,0.894179927,5.888802093,5.666666667,5.666666667
57,60.66666667,0.835607813,6.306625999,5.666666667,7
58,56.11111111,0.894312426,6.066393685,5.666666667,6
59,69.66666667,0.975813721,6.80327135,6.666666667,7
60,51.55555556,0.872560471,5.791860457,5.666666667,6
61,56.55555556,0.940030664,6.261578094,6,6.333333333
62,52.77777778,0.796290128,5.912789166,5.333333333,6.666666667
63,57.33333333,0.731458538,6.101291731,5,7.333333333
64,48.44444444,0.746085045,5.490775898,4.666666667,6.666666667
65,61.88888889,0.900004068,6.406825801,6,7
66,58.77777778,0.944754391,6.317837788,6,6.333333333
67,75,0.781044407,7.226984113,6.333333333,8.333333333
68,63.33333333,0.947777473,6.505482472,6.333333333,6.666666667
69,54.88888889,0.887660307,5.948588419,5.333333333,6.333333333
70,61.33333333,0.795414476,6.329029714,5,7
71,79.66666667,0.911273509,7.275782669,6.666666667,7.666666667
72,53.55555556,0.889492973,6.317837788,6,6.333333333
73,68.11111111,0.908193341,6.771991776,6.333333333,7
74,68.11111111,0.836444368,6.865402972,6.333333333,7.666666667
75,65.44444444,0.914146701,6.719535589,6.333333333,7
76,54.88888889,0.682149086,6.159015739,5,8
77,50.22222222,0.669884348,5.693268396,4.333333333,7.333333333
78,64.77777778,0.770353902,6.855086808,6.333333333,7.666666667
79,38.66666667,0.695512745,4.962705926,4,6
80,73.66666667,0.924267738,7.088561203,7,7.333333333
81,53.77777778,0.672446587,5.888802093,4.333333333,7.666666667
82,54.44444444,0.970053149,6.007779811,5.666666667,6
83,84.88888889,0.887006104,7.429784554,7,7.666666667
84,57.88888889,0.852618802,6.135991301,6,6
85,51.33333333,0.621357286,5.876771841,5,7.333333333
86,59.66666667,0.933731839,6.216203742,5.666666667,6.333333333
87,49,0.811106517,5.580270574,5,6
88,58.77777778,0.885197355,6.4836885,6,6.666666667
89,61.77777778,0.836330909,6.782434329,6.333333333,7
90,72.33333333,0.98077999,7.088561203,7,7
91,58,0.918125916,6.216203742,5.666666667,6.333333333
92,70.88888889,0.885650275,6.988009142,6.333333333,7.666666667
93,43,0.762554996,5.144755264,4.333333333,6.333333333
94,66.22222222,0.952671647,6.677273939,6.666666667,6.666666667
95,57.55555556,0.784172845,6.193391908,5.666666667,6.666666667
96,82.88888889,0.986026679,7.353186791,7.333333333,7.333333333
97,64.66666667,0.780003994,6.761533095,6.666666667,6.666666667
98,58,0.813818699,6.238932168,5.333333333,7
99,71.44444444,0.904852265,6.937186582,6.333333333,7.333333333
100,69.22222222,0.974287397,6.865402972,6.666666667,7
101,54.22222222,0.735071516,6.124446622,5.333333333,6.666666667
102,71,0.82771242,7.158107267,6.333333333,7.333333333
103,52.66666667,0.720101675,5.936679321,5,7
104,54,0.947189423,6.031293716,5.666666667,6
105,56.33333333,0.817129794,6.08968127,5.333333333,6.666666667
106,90.77777778,0.917097594,7.627194613,7,8
107,59.66666667,0.807898986,6.417862546,6,7
108,61.77777778,0.916793456,6.581193046,6,7
109,70.88888889,0.876473231,6.967724602,6.333333333,7.666666667
110,67.22222222,0.866464568,6.624067721,6,7
111,55.55555556,0.786931069,6.516352125,6,6.333333333
112,62,0.92101628,6.559650622,6,6.666666667
113,70.33333333,0.944308568,6.855086808,6.666666667,7
114,71,0.902474865,6.937186582,6.666666667,7
115,40.88888889,0.685956528,4.861856681,4,6
116,58.88888889,0.976658162,6.170495741,5.666666667,6
117,72.88888889,0.912556271,7.128384894,6.666666667,7.333333333
118,79.11111111,0.909650956,7.477259698,7,7.666666667
119,61,0.897585702,6.450859486,6,6.666666667
120,42.77777778,0.758614413,5.172194153,4,6.333333333
121,50.66666667,0.774865886,5.693268396,5.333333333,6
122,65.77777778,0.898851656,6.634743099,6,7.333333333
123,70.77777778,0.94509901,7.108500936,7,7.333333333
124,54.22222222,0.607583325,6.043016359,4.666666667,8.333333333
125,72.88888889,0.958079753,7.078570273,7,7.333333333
126,66.33333333,0.908444858,6.613375111,6.333333333,7
127,85.22222222,0.888348735,7.486718601,7,8
128,77.11111111,0.915509658,7.372410841,7,7.333333333
129,62.55555556,0.777008997,6.771991776,6,8.333333333
130,104.6666667,0.892008031,8.345002446,8,8.666666667
131,57.22222222,0.958540947,6.135991301,6,6
132,67.55555556,0.860527675,6.771991776,6.333333333,7.333333333
133,52.88888889,0.907119824,5.888802093,5.666666667,6.333333333
134,61,0.912631845,6.472763996,6,6.333333333
135,66,0.813439635,6.548852835,5.666666667,7.333333333
136,52.88888889,0.807453018,5.767370452,4.666666667,6.333333333
137,45.77777778,0.582135348,6.170495741,4.666666667,8
138,52.22222222,0.663868365,6.472763996,5.666666667,7
139,67.44444444,0.828580167,6.824044746,6.333333333,7.333333333
140,78,0.926463849,7.343555894,7,7.666666667
141,52.66666667,0.908272491,5.840532409,5.333333333,5.666666667
142,50.88888889,0.980948187,5.816247346,5.666666667,6
143,53.77777778,0.928945581,5.864716912,5.666666667,5.666666667
144,53.44444444,0.778580678,5.888802093,5.666666667,6
145,51.88888889,0.749791902,5.888802093,5,7
146,41.22222222,0.640025403,5.280524111,4,7
147,71.77777778,0.798546844,6.988009142,6,8.333333333
148,58.55555556,0.749180455,6.11288014,5,7.333333333
149,82.66666667,0.920906864,7.458305904,7,7.666666667
150,57.11111111,0.884809409,6.159015739,5.333333333,6.333333333
151,50.77777778,0.774109888,5.791860457,5.333333333,6.333333333
152,62.33333333,0.856866916,6.4836885,5.333333333,7
153,65.44444444,0.979818119,6.461821023,6.333333333,6.333333333
154,50.44444444,0.933400157,5.542092676,5.333333333,5.333333333
155,48.22222222,0.844259674,5.529308131,4.666666667,6.333333333
156,70.88888889,0.947197982,6.896258871,6.666666667,7
157,76.66666667,0.940020424,7.448810922,7.333333333,7.333333333
158,82.11111111,0.773474015,7.515023876,6.333333333,9
159,62.88888889,0.855458758,6.581193046,5.666666667,7
160,64.66666667,0.903215961,6.559650622,6,7
161,66.55555556,0.733528062,6.80327135,5.666666667,7.666666667
162,70.22222222,0.843884172,6.875703657,6.333333333,7
163,51.88888889,0.747509077,5.888802093,5.333333333,6.333333333
164,52.77777778,0.73281856,5.630771789,4.333333333,6.666666667
165,60.33333333,0.920983209,6.39577001,6,6.666666667
166,54.44444444,0.780736974,5.852637153,4.666666667,7
167,57,0.792184921,6.204808308,5.333333333,7
168,50,0.729860251,5.730439204,4.666666667,7
169,56.44444444,0.887645169,6.159015739,5.666666667,6.333333333
170,55.22222222,0.814351798,6.147514299,5.666666667,6.666666667
171,60.11111111,0.752867391,6.227578324,6,6.666666667
172,56.66666667,0.912316464,6.227578324,5.666666667,6.666666667
173,64.11111111,0.85675201,6.813665965,6.333333333,7.333333333
174,58.33333333,0.747485643,6.124446622,5,7.333333333
175,59.44444444,0.86881205,6.428880344,6,6.666666667
176,75.22222222,0.828858848,7.098538071,6.333333333,8
177,45.33333333,0.685134222,5.267104715,4,6.666666667
178,65.22222222,0.753099802,6.708995134,5.666666667,8
179,62.22222222,0.699003385,6.591937858,6.333333333,7
180,51.55555556,0.696689539,5.840532409,4.666666667,7
181,62.44444444,0.9120995,6.505482472,6,7
182,62.44444444,0.7881203,6.472763996,5.333333333,7
183,58.66666667,0.937359279,6.317837788,6,6.333333333
184,48.22222222,0.741149568,5.451971341,4.333333333,6.666666667
185,60.44444444,0.822702572,6.472763996,6,7.333333333
186,55.55555556,0.943684076,5.960473722,5.666666667,6
187,54.22222222,0.896521875,6.007779811,5.666666667,6.333333333
188,56.77777778,0.706033727,6.204808308,5.666666667,6.666666667
189,60.66666667,0.699869771,6.527203676,5.333333333,8
190,62.22222222,0.818712316,6.570430663,5.666666667,7.333333333
191,61,0.76418016,6.306625999,5.333333333,7.333333333
192,94.77777778,0.959373832,7.801500572,7.666666667,8
193,65.88888889,0.880335215,6.634743099,6,7
194,49.22222222,0.737825637,5.50364995,4.333333333,7
195,57.11111111,0.86524633,6.159015739,6,6.333333333
196,66,0.944344089,6.666666667,6.333333333,7
197,92.11111111,0.957706469,7.737739429,7.666666667,8
198,69.44444444,0.953271373,6.885988934,6.666666667,7
199,51.44444444,0.927400452,5.730439204,5.333333333,6
200,73.55555556,0.794127131,7.148213541,6.333333333,8.333333333
201,55.77777778,0.704781174,6.11288014,5,7.666666667
202,71.77777778,0.770446974,7.068565222,6,8.333333333
203,52,0.756938247,5.779628426,4.666666667,7
204,55.33333333,0.710316976,6.101291731,5,7.333333333
205,55,0.785005281,6.101291731,5.333333333,7.333333333
206,53.66666667,0.606171816,5.888802093,4,8
207,51.88888889,0.956788623,5.730439204,5.333333333,5.666666667
208,67.11111111,0.872913704,6.624067721,6,7.333333333
209,57.66666667,0.83223784,6.295394243,5.666666667,7
210,56.55555556,0.853873728,6.193391908,6,6.333333333
211,64,0.726988665,6.581193046,5,8
212,68.55555556,0.910091555,6.730059535,6.666666667,6.666666667
213,73.11111111,0.817029027,7.058545989,6.666666667,7.333333333
214,76.66666667,0.891805191,7.167987337,6.666666667,7.666666667
215,66.88888889,0.93796142,6.708995134,6,6.666666667
216,46.77777778,0.913382612,6.019548245,5.666666667,5.666666667
217,64.33333333,0.927114282,6.548852835,6.333333333,6.666666667
218,71.33333333,0.940596586,7.058545989,7,7.333333333
219,49.11111111,0.87626719,5.680824078,5,6
220,54.66666667,0.895174226,5.912789166,6,6
221,55.66666667,0.961563363,6.078048631,5.666666667,6
222,77.44444444,0.928620055,7.353186791,7,8
223,45.66666667,0.612181063,5.32057923,3.666666667,7.333333333
224,57.77777778,0.95904474,6.227578324,5.666666667,6.333333333
225,44.11111111,0.908983269,5.280524111,5,5.666666667
226,42.44444444,0.899182367,5.117169246,4.666666667,5.333333333
227,45.77777778,0.737144203,5.451971341,4.333333333,6.666666667
228,69.77777778,0.964453051,6.782434329,6.666666667,7
229,64.22222222,0.884599108,6.698438094,6,7
230,61.33333333,0.87838432,6.559650622,5.666666667,7
231,68.66666667,0.87780883,6.730059535,6,7.666666667
232,61.22222222,0.827416296,6.39577001,6,6.666666667
233,50.77777778,0.927878988,5.50364995,5,5.333333333
234,76.66666667,0.786138081,6.771991776,6.333333333,7.333333333
235,68.77777778,0.994668831,6.782434329,6.666666667,7
236,51.88888889,0.603664552,5.755086368,4.333333333,8
237,66.88888889,0.881078916,6.687864388,6.666666667,6.666666667
238,43.88888889,0.906969114,5.767370452,5,6.333333333
239,56,0.817299652,6.147514299,5.666666667,6.666666667
240,58.55555556,0.81251657,6.135991301,5.333333333,6.666666667
241,55.88888889,0.906347963,6.043016359,5.666666667,6
242,44.55555556,0.895075928,5.117169246,4.666666667,5.333333333
243,53.22222222,0.756409365,6.450859486,6,6.666666667
244,67.22222222,0.801252371,6.591937858,5.666666667,7.666666667
245,66.77777778,0.836585912,6.613375111,6,7.333333333
246,82,0.891153789,7.401153293,6.666666667,7.666666667
247,58.11111111,0.817962045,6.135991301,5.333333333,6.666666667
248,48.44444444,0.628483362,5.64332648,4.333333333,7.333333333
249,63,0.846879466,6.719535589,5.666666667,8
250,65.33333333,0.784939957,6.926977325,6.333333333,7.333333333
251,63.11111111,0.818274617,6.613375111,5.666666667,7.333333333
252,46.77777778,0.720780788,5.464936809,4.666666667,6.333333333
253,53.44444444,0.937996666,5.960473722,5.666666667,6
254,59.44444444,0.826817425,6.39577001,6,6.666666667
255,65.66666667,0.958470829,6.570430663,6.333333333,6.666666667
256,59.66666667,0.896946306,6.428880344,5.666666667,6.666666667
257,60,0.864811593,6.581193046,5.666666667,7.333333333
258,50.22222222,0.862920463,5.64332648,5,6
259,77.44444444,0.90749923,7.55259923,7,8
260,64.22222222,0.790231092,6.751058212,5.666666667,8
261,58.22222222,0.78861195,6.216203742,5.333333333,7
262,87.55555556,0.920578475,7.580658519,7,7.666666667
263,65.77777778,0.774544416,6.771991776,6,7.666666667
264,83,0.890149948,7.627194613,7,8
265,61.66666667,0.957719936,6.602665185,6.333333333,6.666666667
266,64.77777778,0.88657397,6.505482472,6,7
267,63.11111111,0.910806211,6.792860829,6.333333333,7
268,60.88888889,0.983312042,6.428880344,6,6
269,77.33333333,0.89517544,7.158107267,6.333333333,7.333333333
270,91,0.942681632,7.627194613,7.333333333,8
271,73.22222222,0.914916231,7.177853807,6.666666667,7.333333333
272,75.11111111,0.915040932,7.448810922,7,7.666666667
273,56.66666667,0.97131812,6.193391908,6,6.333333333
274,62.77777778,0.867028281,6.634743099,5.666666667,7
275,64,0.775275397,6.687864388,6,7
276,64.55555556,0.952191477,6.472763996,6.333333333,6.666666667
277,71.11111111,0.83050494,6.844755096,6,7.666666667
278,62.11111111,0.731768753,6.813665965,6.666666667,7
279,52,0.9465662,5.693268396,5.333333333,5.666666667
